"事業者名","カテゴリ","エリア","住所","電話番号","ウェブサイト","Instagram","Googleレビュー数","Google評価","個人/法人","DM優先度(1-5)","GoogleマップURL","DMメモ"
"Dr.トレーニング 渋谷店","パーソナルトレーナー","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷３丁目２６−１７ Vort渋谷 1F","03-6427-1920","https://drtraining.jp/location/shibuya/?utm_source=google&utm_medium=meo&utm_campaign=meo&utm_id=2","https://instagram.com/dr.training_official","92","5","","3","https://maps.google.com/?cid=5535586275456327184",""
"by COLOR","パーソナルカラー診断","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷１丁目９−４ トーカン渋谷キャステール 610号室","03-6275-0940","https://by-color.com/","https://instagram.com/haru_bycolor","92","4.9","","3","https://maps.google.com/?cid=10766846091486088126",""
"ULU新宿代々木店","パーソナルカラー診断","東京都渋谷区","日本、〒151-0053 東京都渋谷区代々木１丁目５７−２ ドルミ代々木 １３０３","03-6383-3853","https://ulu-tokyo.com/","https://instagram.com/ulu_personal_color","85","4.9","","3","https://maps.google.com/?cid=18176357403937737478",""
"メンズ脱毛NAX渋谷店","メンズ脱毛サロン","東京都渋谷区","日本、〒150-0041 東京都渋谷区神南１丁目１１−５ ダイネス壱番館渋谷1106号室","03-4405-4585","https://nax.mobi/","","72","4.9","","3","https://maps.google.com/?cid=4511957299478042351",""
"メンズ眉毛サロン DEforMEN 渋谷マークシティ店","眉毛サロン メンズ","東京都渋谷区","日本、〒150-0043 東京都渋谷区道玄坂１丁目１２−１ 渋谷マークシティWEST2F","03-5459-3981","https://www.diamond-eyes.net/shibuya/mens/","https://instagram.com/de_formen","71","4.9","","3","https://maps.google.com/?cid=15643018505441560928",""
"パーソナルジム01ノルエット【トレーニング×整体×ピラティス】渋谷店","パーソナルジム","東京都渋谷区","日本、〒150-0031 東京都渋谷区桜丘町１３−13番1号 カーサ・チェリーヒル 202","03-6823-4910","https://personal-gym01.com/gym-shibuya/","","70","5","","3","https://maps.google.com/?cid=15102519079588294",""
"女性専用パーソナルジム UNDEUX SUPERBODY 渋谷","パーソナルトレーナー","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷１丁目８−７ ４F A室","0120-330-150","https://www.diet-undeux.jp/studio/shibuya/","https://instagram.com/undeux55","65","4.9","","3","https://maps.google.com/?cid=12636536888473433440",""
"24hジムE-LIFE GYM 渋谷","パーソナルジム","東京都渋谷区","日本、〒150-0011 東京都渋谷区東１丁目２８−７ エスト渋谷 1F B1F","070-1596-0016","https://elife-gym.com/","https://instagram.com/elifegym","65","4.9","","3","https://maps.google.com/?cid=4014256197046619553",""
"STUDIO KOMPAS 渋谷店","パーソナルトレーナー","東京都渋谷区","日本、〒150-0036 東京都渋谷区南平台町１３−１１ 南平台WEST 地下 102","03-6316-6665","https://kompas.tokyo/","https://instagram.com/mako_trainer","60","5","","3","https://maps.google.com/?cid=655944482386484552",""
"タニフィット渋谷店","パーソナルトレーナー","東京都渋谷区","日本、〒150-0011 東京都渋谷区東１丁目２６−３１ 大島ビル 2階","03-6824-6129","https://fit.tanifit-gym.com/lp/shibuya","","59","5","","3","https://maps.google.com/?cid=16104797786929842278",""
"B-side GYM(ビサイドジム) 渋谷本店","パーソナルトレーナー","東京都渋谷区","日本、〒150-0032 東京都渋谷区鶯谷町７−１２ GranDuo渋谷Bldg 3階","050-3557-3030","https://www.b-side-gym.com/","https://instagram.com/beside_kimbara","58","5","","3","https://maps.google.com/?cid=7856595934532336299",""
"MIYAZAKI GYM渋谷店","パーソナルトレーナー","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷１丁目１−１０ ニューハイツ青山 1003","03-3406-8041","https://miyazaki-gym.jp/shop/shibuya/","","53","4.8","法人","3","https://maps.google.com/?cid=12801641886245914927","レビュー53件。IG未掲載"
"Fashion Lab.｜渋谷・恵比寿店","パーソナルカラー診断","東京都渋谷区","日本、〒150-0022 東京都渋谷区恵比寿南３丁目２−１０ クイーンホームズ 206","","https://stylesearch.jp/salon/0001/","https://instagram.com/fashionlab_shibuya","51","5","","3","https://maps.google.com/?cid=713262786087638684",""
"スタパト渋谷店","パーソナルカラー診断","東京都渋谷区","日本、〒150-0043 東京都渋谷区道玄坂２丁目６−１７ 渋東シネタワ 12F","070-9321-1334","https://divina.link/","","45","5","個人","3","https://maps.google.com/?cid=6786665557612969679","レビュー45件で個人度中程度"
"ひよりスタイリング","パーソナルカラー診断","東京都渋谷区","日本、〒150-0022 東京都渋谷区恵比寿南２丁目１８−６ メゾンドグリシーヌ 204","090-5208-3486","https://hiyoristyling.com/","https://instagram.com/mafu0406","42","5","個人","3","https://maps.google.com/?cid=4363768331645912697","レビュー42件で個人運営の可能性"
"ティーバランス渋谷駅前店","パーソナルトレーナー","東京都渋谷区","日本、〒150-0031 東京都渋谷区桜丘町２０−１１ チェリーヒル ３０１","","https://t-balance-gym.net/gender/?utm_source=shibuyaekimaegmb&utm_medium=cpc","","41","4.9","法人","3","https://maps.google.com/?cid=12418484462052072156","レビュー41件。IG未掲載"
"PERSONAL GYM BASIS 渋谷店","パーソナルジム","東京都渋谷区","日本、〒150-0046 東京都渋谷区松濤１丁目２９−２４ シティコート松濤 ２０３","03-6822-6526","https://basis-gym.jp/gym/shibuya/?utm_source=google&utm_medium=gmb&utm_campaign=shibuya","https://instagram.com/personalgym_basis","26","5","法人","3","https://maps.google.com/?cid=9650754506802796362","レビュー26件。Web/IG有"
"メディカルホワイトニングHAKU 渋谷店","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0046 東京都渋谷区松濤１丁目２８−６ VORT渋谷松濤 RESIDENCE201号室","050-8885-6058","https://whitening-haku.com/store/shibuya/?utm_source=gbp_shibuya&utm_medium=referral","https://instagram.com/haku_shibuya","15","4.5","法人","3","https://maps.google.com/?cid=13499195250070635985","レビュー少・Web/IGあり"
"㈱スタイリスト","パーソナルスタイリスト","東京都渋谷区","日本、〒150-0045 東京都渋谷区神泉町１１−７ 6F","03-6416-5195","http://www.stylist-inc.com/","","7","3.9","","3","https://maps.google.com/?cid=4982387549509383037",""
"一般社団法人国際スタイリングカウンセラー協会【パーソナルスタイリスト養成】","パーソナルスタイリスト","東京都渋谷区","日本、〒151-0051 東京都渋谷区千駄ケ谷３丁目２−８ 第１２宮庭マンション ８０２","090-8179-0550","https://stylingcounselor.com/","https://instagram.com/stylingcounselor","6","5","","3","https://maps.google.com/?cid=8425265020808558976",""
"パーソナルスタイリスト®協会","パーソナルスタイリスト","東京都渋谷区","日本、〒150-0034 東京都渋谷区代官山町２−６ シャトレ代官山アネックス","03-3770-0169","https://psij.jp/contact/","","1","5","","3","https://maps.google.com/?cid=17769164474797099805",""
"株式会社ホワイトキャンバス","パーソナルスタイリスト","東京都渋谷区","日本、〒150-0021 東京都渋谷区恵比寿西２丁目８−４ 5階","","https://a-personalstyling.com/","https://instagram.com/a.nishihata","1","5","","3","https://maps.google.com/?cid=3349134549880169134",""
"for*styleパーソナルスタイリストスクール(FPSS)","パーソナルスタイリスト","東京都渋谷区","日本、〒153-0053 東京都目黒区五本木１丁目８−８","03-6452-2347","https://www.forstyle.biz/personalstylist-school/","https://instagram.com/f_p_s_s","0","","","3","https://maps.google.com/?cid=5373058794603584274",""
"Lulu 渋谷駅宮益坂店","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷１丁目１２−１２ 宮益坂東豊エステートビル 402","","https://beauty.hotpepper.jp/kr/slnH000756279/coupon/?utm_source=google&utm_medium=maps","","62","5","法人","2","https://maps.google.com/?cid=4052874099068748454","レビュー少・Web/メンズ"
"株式会社r.a.c.","パーソナルスタイリスト","東京都渋谷区","日本、〒150-0001 東京都渋谷区神宮前６丁目２３−23番4号 2階","03-6775-4396","https://produce-rac.com/","https://instagram.com/hrpk_rac","0","","法人","2","https://maps.google.com/?cid=4766315415595730408","法人・レビュー0件"
"ホワイトニング &脱毛Happiness渋谷店","ホワイトニングサロン メンズ","東京都渋谷区","日本、〒150-0002 東京都渋谷区渋谷２丁目１０−１５ NVIビル ２階","03-6427-5645","","","35","4.8","法人","1","https://maps.google.com/?cid=17236997144549390859","Web未掲載"
